"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2021","4,437.9","4,476.0","4,476.5","4,417.5","","-0.85%"
"08/16/2021","4,476.1","4,463.5","4,481.5","4,438.0","","0.29%"
"08/15/2021","4,463.3","4,462.9","4,464.5","4,460.9","","-0.06%"
"08/13/2021","4,465.8","4,458.6","4,468.8","4,456.8","","0.17%"
"08/12/2021","4,458.1","4,444.8","4,462.0","4,436.2","","0.29%"
"08/11/2021","4,445.0","4,434.4","4,449.8","4,427.6","","0.24%"
"08/10/2021","4,434.3","4,432.1","4,445.4","4,423.6","","0.05%"
"08/09/2021","4,432.3","4,421.5","4,438.7","4,419.1","","0.24%"
"08/08/2021","4,421.8","4,435.1","4,435.5","4,419.5","","-0.35%"
"08/06/2021","4,437.5","4,424.1","4,440.1","4,423.4","","0.31%"
"08/05/2021","4,423.9","4,405.3","4,429.9","4,401.6","","0.43%"
